,No.,Time,Source,Destination,Protocol,Length,Info
283447,289667,14770.28957,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=249942 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283448,289668,14770.289903,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=251394 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283449,289669,14770.291352,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289548#34] 50676  >  443 [ACK] Seq=782 Ack=284207 Win=216320 Len=0 SLE=317603 SRE=365519 SLE=287111 SRE=290015
283450,289670,14770.291484,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=252846 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283451,289671,14770.291536,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289548#35] 50676  >  443 [ACK] Seq=782 Ack=284207 Win=216320 Len=0 SLE=317603 SRE=366971 SLE=287111 SRE=290015
283452,289672,14770.291596,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289548#36] 50676  >  443 [ACK] Seq=782 Ack=284207 Win=216320 Len=0 SLE=317603 SRE=368423 SLE=287111 SRE=290015
283453,289673,14770.291651,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289548#37] 50676  >  443 [ACK] Seq=782 Ack=284207 Win=216320 Len=0 SLE=317603 SRE=369875 SLE=287111 SRE=290015
283454,289674,14770.291705,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289548#38] 50676  >  443 [ACK] Seq=782 Ack=284207 Win=216320 Len=0 SLE=317603 SRE=371327 SLE=287111 SRE=290015
283455,289675,14770.291758,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289548#39] 50676  >  443 [ACK] Seq=782 Ack=284207 Win=216320 Len=0 SLE=317603 SRE=372779 SLE=287111 SRE=290015
283456,289676,14770.291812,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289548#40] 50676  >  443 [ACK] Seq=782 Ack=284207 Win=216320 Len=0 SLE=317603 SRE=374231 SLE=287111 SRE=290015
283457,289677,14770.291866,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289548#41] 50676  >  443 [ACK] Seq=782 Ack=284207 Win=216320 Len=0 SLE=317603 SRE=375683 SLE=287111 SRE=290015
283458,289678,14770.291917,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289548#42] 50676  >  443 [ACK] Seq=782 Ack=284207 Win=216320 Len=0 SLE=317603 SRE=377135 SLE=287111 SRE=290015
283459,289679,14770.291989,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289548#43] 50676  >  443 [ACK] Seq=782 Ack=284207 Win=216320 Len=0 SLE=317603 SRE=378587 SLE=287111 SRE=290015
283460,289680,14770.292153,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289548#44] 50676  >  443 [ACK] Seq=782 Ack=284207 Win=216320 Len=0 SLE=317603 SRE=380039 SLE=287111 SRE=290015
283461,289681,14770.292349,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289548#45] 50676  >  443 [ACK] Seq=782 Ack=284207 Win=216320 Len=0 SLE=317603 SRE=381491 SLE=287111 SRE=290015
283462,289682,14770.292409,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289548#46] 50676  >  443 [ACK] Seq=782 Ack=284207 Win=216320 Len=0 SLE=317603 SRE=382943 SLE=287111 SRE=290015
283463,289683,14770.292463,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289548#47] 50676  >  443 [ACK] Seq=782 Ack=284207 Win=216320 Len=0 SLE=317603 SRE=384395 SLE=287111 SRE=290015
283464,289684,14770.292534,10.0.0.45,192.0.72.16,TCP,74,50676  >  443 [ACK] Seq=782 Ack=285659 Win=214784 Len=0 SLE=317603 SRE=384395 SLE=287111 SRE=290015
283465,289685,14770.292602,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=270073 Win=66560 Len=0 SLE=284593 SRE=294757
283466,289686,14770.292658,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=271525 Win=66560 Len=0 SLE=284593 SRE=294757
283467,289687,14770.292711,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=272977 Win=66560 Len=0 SLE=284593 SRE=294757
283468,289688,14770.292766,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=274429 Win=66560 Len=0 SLE=284593 SRE=294757
283469,289689,14770.29283,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=275881 Win=66560 Len=0 SLE=284593 SRE=294757
283470,289690,14770.293806,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=277333 Win=66560 Len=0 SLE=284593 SRE=294757
283471,289691,14770.293973,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=278785 Win=66560 Len=0 SLE=284593 SRE=294757
283472,289692,14770.294031,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=280237 Win=66560 Len=0 SLE=284593 SRE=294757
283473,289693,14770.294084,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=281689 Win=66560 Len=0 SLE=284593 SRE=294757
283474,289694,14770.294136,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=283141 Win=66560 Len=0 SLE=284593 SRE=294757
283475,289695,14770.294196,10.0.0.45,54.240.166.244,TCP,54,50672  >  80 [ACK] Seq=434 Ack=294757 Win=66560 Len=0
283476,289696,14770.294257,10.0.0.45,54.240.166.244,TCP,54,50672  >  80 [ACK] Seq=434 Ack=300565 Win=60928 Len=0
283477,289697,14770.294837,10.0.0.45,54.240.166.244,TCP,54,[TCP Window Update] 50672  >  80 [ACK] Seq=434 Ack=300565 Win=66560 Len=0
283478,289698,14770.296317,10.0.0.45,192.0.72.16,TCP,66,50676  >  443 [ACK] Seq=782 Ack=290015 Win=210432 Len=0 SLE=317603 SRE=384395
283479,289699,14770.296532,10.0.0.45,192.0.72.16,TCP,66,50676  >  443 [ACK] Seq=782 Ack=291467 Win=208896 Len=0 SLE=317603 SRE=384395
283480,289700,14770.296592,10.0.0.45,192.0.72.16,TCP,66,50676  >  443 [ACK] Seq=782 Ack=292919 Win=207616 Len=0 SLE=317603 SRE=384395
283481,289701,14770.296649,10.0.0.45,192.0.72.16,TCP,66,50676  >  443 [ACK] Seq=782 Ack=294371 Win=206080 Len=0 SLE=317603 SRE=384395
283482,289702,14770.296703,10.0.0.45,192.0.72.16,TCP,66,50676  >  443 [ACK] Seq=782 Ack=295823 Win=204544 Len=0 SLE=317603 SRE=384395
283483,289703,14770.296755,10.0.0.45,192.0.72.16,TCP,66,50676  >  443 [ACK] Seq=782 Ack=297275 Win=203264 Len=0 SLE=317603 SRE=384395
283484,289704,14770.296808,10.0.0.45,192.0.72.16,TCP,66,50676  >  443 [ACK] Seq=782 Ack=298727 Win=201728 Len=0 SLE=317603 SRE=384395
283485,289705,14770.296909,10.0.0.45,54.240.166.244,TCP,54,50672  >  80 [ACK] Seq=434 Ack=304921 Win=66560 Len=0
283486,289706,14770.298193,10.0.0.45,192.0.72.16,TCP,66,50676  >  443 [ACK] Seq=782 Ack=300179 Win=200192 Len=0 SLE=317603 SRE=384395
283487,289707,14770.298358,10.0.0.45,192.0.72.16,TCP,66,50676  >  443 [ACK] Seq=782 Ack=301631 Win=198912 Len=0 SLE=317603 SRE=384395
283488,289708,14770.298417,10.0.0.45,192.0.72.16,TCP,66,50676  >  443 [ACK] Seq=782 Ack=303083 Win=197376 Len=0 SLE=317603 SRE=384395
283489,289709,14770.298475,10.0.0.45,192.0.72.16,TCP,66,50676  >  443 [ACK] Seq=782 Ack=304535 Win=195840 Len=0 SLE=317603 SRE=384395
283490,289710,14770.298543,10.0.0.45,192.0.72.16,TCP,66,50676  >  443 [ACK] Seq=782 Ack=305987 Win=194560 Len=0 SLE=317603 SRE=384395
283491,289711,14770.298605,10.0.0.45,54.240.166.244,TCP,54,50673  >  80 [ACK] Seq=440 Ack=248490 Win=65280 Len=0
283492,289712,14770.299257,10.0.0.45,54.240.166.244,TCP,54,[TCP Window Update] 50673  >  80 [ACK] Seq=440 Ack=248490 Win=66560 Len=0
283493,289713,14770.300108,10.0.0.45,54.240.166.244,TCP,54,50673  >  80 [ACK] Seq=440 Ack=254298 Win=66560 Len=0
283494,289714,14770.320192,192.0.72.16,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 443  >  50676 [ACK] Seq=305987 Ack=782 Win=31744 Len=1452
283495,289715,14770.332493,192.0.72.16,10.0.0.45,TCP,1506,[TCP Retransmission] 443  >  50676 [ACK] Seq=307439 Ack=782 Win=31744 Len=1452
283496,289716,14770.336398,192.0.72.16,10.0.0.45,TCP,1506,[TCP Retransmission] 443  >  50676 [ACK] Seq=308891 Ack=782 Win=31744 Len=1452
283497,289717,14770.336658,192.0.72.16,10.0.0.45,TCP,1506,[TCP Retransmission] 443  >  50676 [ACK] Seq=310343 Ack=782 Win=31744 Len=1452
283498,289718,14770.338503,192.0.72.16,10.0.0.45,TCP,1506,[TCP Retransmission] 443  >  50676 [ACK] Seq=311795 Ack=782 Win=31744 Len=1452
283499,289719,14770.338604,192.0.72.16,10.0.0.45,TCP,1506,[TCP Retransmission] 443  >  50676 [ACK] Seq=313247 Ack=782 Win=31744 Len=1452
283500,289720,14770.338687,192.0.72.16,10.0.0.45,TCP,1506,[TCP Retransmission] 443  >  50676 [ACK] Seq=314699 Ack=782 Win=31744 Len=1452
283795,290015,14770.786534,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283796,290016,14770.786821,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283797,290017,14770.786897,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283798,290018,14770.787146,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283799,290019,14770.787455,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283800,290020,14770.787531,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283801,290021,14770.787597,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283802,290022,14770.787777,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283803,290023,14770.78785,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283804,290024,14770.791999,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283805,290025,14770.795372,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283806,290026,14770.79569,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283807,290027,14770.795768,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283808,290028,14770.796003,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283809,290029,14770.796325,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283810,290030,14770.796401,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283811,290031,14770.801508,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283812,290032,14770.801593,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283813,290033,14770.801659,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283814,290034,14770.801724,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283815,290035,14770.801788,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283816,290036,14770.801853,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283817,290037,14770.801918,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283818,290038,14770.801983,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283819,290039,14770.802047,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=373165 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283820,290040,14770.802113,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=374617 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283821,290041,14770.802178,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=376069 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283822,290042,14770.804147,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=377521 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283823,290043,14770.804228,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=378973 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283824,290044,14770.804451,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=380425 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283825,290045,14770.804521,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=381877 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283826,290046,14770.804777,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=383329 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283827,290047,14770.805092,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=384781 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283828,290048,14770.805169,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=386233 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283829,290049,14770.805411,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=387685 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283830,290050,14770.805486,54.240.166.244,10.0.0.45,TCP,1506,"80  >  50672 [PSH, ACK] Seq=389137 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]"
283831,290051,14770.805553,192.0.72.16,10.0.0.45,TLSv1.2,1506,"[TCP Fast Retransmission] , Ignored Unknown Record"
283832,290052,14770.805728,192.0.72.16,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 443  >  50676 [ACK] Seq=565895 Ack=782 Win=31744 Len=1452
283833,290053,14770.805801,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283834,290054,14770.806044,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=390589 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283835,290055,14770.806123,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=392041 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283836,290056,14770.806188,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=393493 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283837,290057,14770.809122,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#12] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=594935 SLE=570251 SRE=573155
283838,290058,14770.809295,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#13] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=596387 SLE=570251 SRE=573155
283839,290059,14770.809371,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#14] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=597839 SLE=570251 SRE=573155
283840,290060,14770.809426,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#15] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=599291 SLE=570251 SRE=573155
283841,290061,14770.809483,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#16] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=600743 SLE=570251 SRE=573155
283842,290062,14770.809536,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#17] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=602195 SLE=570251 SRE=573155
283843,290063,14770.809598,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#18] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=603647 SLE=570251 SRE=573155
283844,290064,14770.809661,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#19] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=605099 SLE=570251 SRE=573155
283845,290065,14770.809715,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#20] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=606551 SLE=570251 SRE=573155
283846,290066,14770.809769,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#21] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=608003 SLE=570251 SRE=573155
283847,290067,14770.809957,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#22] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=609455 SLE=570251 SRE=573155
283848,290068,14770.810118,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#23] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=610907 SLE=570251 SRE=573155
283849,290069,14770.810177,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#24] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=612359 SLE=570251 SRE=573155
283850,290070,14770.810234,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#25] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=613811 SLE=570251 SRE=573155
283851,290071,14770.810288,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#26] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=615263 SLE=570251 SRE=573155
283852,290072,14770.810341,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#27] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=616715 SLE=570251 SRE=573155
283853,290073,14770.810395,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#28] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=618167 SLE=570251 SRE=573155
283854,290074,14770.810448,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#29] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=619619 SLE=570251 SRE=573155
283855,290075,14770.810502,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#30] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=621071 SLE=570251 SRE=573155
283856,290076,14770.810555,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#31] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=622523 SLE=570251 SRE=573155
283857,290077,14770.810705,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#32] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=623975 SLE=570251 SRE=573155
283858,290078,14770.810879,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#33] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=625427 SLE=570251 SRE=573155
283859,290079,14770.810947,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#34] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=626879 SLE=570251 SRE=573155
283860,290080,14770.811001,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#35] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=628331 SLE=570251 SRE=573155
283861,290081,14770.811064,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#36] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=629783 SLE=570251 SRE=573155
283862,290082,14770.811117,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#37] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=631235 SLE=570251 SRE=573155
283863,290083,14770.811178,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#38] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=632687 SLE=570251 SRE=573155
283864,290084,14770.811234,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289985#39] 50676  >  443 [ACK] Seq=782 Ack=564443 Win=246784 Len=0 SLE=578963 SRE=634139 SLE=570251 SRE=573155
283865,290085,14770.811307,10.0.0.45,54.240.166.244,TCP,54,50672  >  80 [ACK] Seq=434 Ack=376069 Win=66560 Len=0
283866,290086,14770.812974,10.0.0.45,54.240.166.244,TCP,54,50672  >  80 [ACK] Seq=434 Ack=390589 Win=60928 Len=0
283867,290087,14770.813262,10.0.0.45,54.240.166.244,TCP,54,[TCP Window Update] 50672  >  80 [ACK] Seq=434 Ack=390589 Win=66560 Len=0
283868,290088,14770.814304,10.0.0.45,192.0.72.16,TCP,74,50676  >  443 [ACK] Seq=782 Ack=565895 Win=245248 Len=0 SLE=578963 SRE=634139 SLE=570251 SRE=573155
283869,290089,14770.814468,10.0.0.45,192.0.72.16,TCP,74,50676  >  443 [ACK] Seq=782 Ack=567347 Win=243712 Len=0 SLE=578963 SRE=634139 SLE=570251 SRE=573155
283870,290090,14770.814529,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 290089#1] 50676  >  443 [ACK] Seq=782 Ack=567347 Win=243712 Len=0 SLE=578963 SRE=635591 SLE=570251 SRE=573155
283871,290091,14770.814587,10.0.0.45,54.240.166.244,TCP,54,50672  >  80 [ACK] Seq=434 Ack=394945 Win=66560 Len=0
283872,290092,14770.817008,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=394945 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283873,290093,14770.817323,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=396397 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283874,290094,14770.817641,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=397849 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283875,290095,14770.817719,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=399301 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283876,290096,14770.817957,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=310926 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283877,290097,14770.818279,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=312378 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283878,290098,14770.818356,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=313830 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283879,290099,14770.818595,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=315282 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283880,290100,14770.818912,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=316734 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283881,290101,14770.818987,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=318186 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283882,290102,14770.819232,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=319638 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283883,290103,14770.819306,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=321090 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283884,290104,14770.819374,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=322542 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283885,290105,14770.81944,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=323994 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283886,290106,14770.819542,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=325446 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283887,290107,14770.819865,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=326898 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283888,290108,14770.820918,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=328350 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283889,290109,14770.824512,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=329802 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283890,290110,14770.824821,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=331254 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283891,290111,14770.825137,54.240.166.244,10.0.0.45,TCP,1506,"80  >  50673 [PSH, ACK] Seq=332706 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]"
283892,290112,14770.827588,10.0.0.45,54.240.166.244,TCP,54,50672  >  80 [ACK] Seq=434 Ack=400753 Win=66560 Len=0
283893,290113,14770.827788,10.0.0.45,54.240.166.244,TCP,54,50673  >  80 [ACK] Seq=440 Ack=319638 Win=66560 Len=0
283894,290114,14770.831121,10.0.0.45,54.240.166.244,TCP,54,50673  >  80 [ACK] Seq=440 Ack=334158 Win=60928 Len=0
283895,290115,14770.831496,10.0.0.45,54.240.166.244,TCP,54,[TCP Window Update] 50673  >  80 [ACK] Seq=440 Ack=334158 Win=66560 Len=0
283896,290116,14770.842901,192.0.72.16,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 443  >  50676 [ACK] Seq=567347 Ack=782 Win=31744 Len=1452
283897,290117,14770.847829,10.0.0.45,192.0.72.16,TCP,74,50676  >  443 [ACK] Seq=782 Ack=568799 Win=255488 Len=0 SLE=578963 SRE=635591 SLE=570251 SRE=573155
283898,290118,14770.858498,192.0.72.16,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 443  >  50676 [ACK] Seq=568799 Ack=782 Win=31744 Len=1452
283899,290119,14770.863087,192.0.72.16,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 443  >  50676 [ACK] Seq=573155 Ack=782 Win=31744 Len=1452
